variable,run,value
x1,0,28.206511536756125
x1,1,-0.36030624473429884
x1,2,0.19197405515467741
x1,3,-3.913719335269152
x1,4,-3.471953849916691
x1,5,-1.4011332569120858
x1,6,1.637277907078406
x1,7,2.503301385973499
x1,8,-2.712483855569319
x1,9,-0.25516286622589035
x2,0,75.05066218220972
x2,1,7.455534281993863
x2,2,2.745255535780565
x2,3,5.08023827875447
x2,4,4.62077886338159
x2,5,0.9696941949740769
x2,6,-16.006973079026302
x2,7,-3.836475205440221
x2,8,-5.032864300484014
x2,9,-4.654500196988603
x3,0,17.749701403303412
x3,1,1.663481666625182
x3,2,-0.29738310416736913
x3,3,0.9561827808898096
x3,4,-1.2907176249146353
x3,5,-0.982266292752122
x3,6,-0.24364758394809535
x3,7,-1.3037393348197572
x3,8,1.1393856184793916
x3,9,0.07446693569405813
dummy1,0,0.00805626121485287
dummy1,1,-0.002583110537498477
dummy1,2,0.014556372887659175
dummy1,3,-0.008157366332820458
dummy1,4,0.007215106309935837
dummy1,5,-0.0013123724789330755
dummy1,6,0.002004217401116158
dummy1,7,0.005381722817662709
dummy1,8,0.003917929636604838
dummy1,9,0.01763621354409118
dummy2,0,0.011444440581184451
dummy2,1,-0.004249261151278004
dummy2,2,-0.01117671515869285
dummy2,3,-0.005573893641637212
dummy2,4,0.008323521716634067
dummy2,5,-0.0006672168960238214
dummy2,6,0.0002230695367324964
dummy2,7,0.004178600208516608
dummy2,8,0.030446701053817898
dummy2,9,-0.001802854195041962
